Score,Review
1,Very cheap looking. Ended up returning
1,These bags are not very good quality. Thin material.
1,Was not the size advertised! Will not order again.
1,These are very cheaply made. Returning them
1,So thin and not hemmed. Won’t not buy again
1,way smaller then i thought! had to return
1,Very small not what i had pictured when ordered.
1,Really poor quality.
1,Extremely thin
1,NOT GOOD QUALITY
1,Poorly sewed together.
1,First bag I pulled out strap was bad
1,Not good
1,Had to return they definitely are much smalle then they say.
1,Sorry had to give low score. It was too thin.
1,I don't think everyone is getting the same thing when these are ordered. I ordered 3 sets for a project and decided not to use them because they were such cheap fabric and smaller than advertised. Mine are white with white straps - not canvas. I decided to use them as book bags in my classrooms for the students to store the books they are reading and their writing notebooks (3rd grade.) We have been using them for 2 weeks and two of them have already torn beyond repair. They are used 5 days a week (8 days total at this point) for about 30 minutes a day to carry a very light load. The stitching along the sides has completely torn like perforated paper. I doubt these will last a full month.
1,They are not canvas and they are MINI bags they are not the ones in the photo do not buy them
1,The bags are a much smaller size than you see in the photograph.
2,Very beautiful but not very durable.
2,This style bag was requested by my child’s preschool. The canvas in these is on the thinner side (compared to those at Michael’s) and after two uses - carrying a folder with just a feel sheets of paper and a little snack bag) the bottom seam was opened there is a three inch hole in the bottom of the bag. Not the quality I expected.
2,We thought these were going to be great unfortunately after a couple uses the bag shredded at the seam and everything fell out. Not as sturdy as we had hoped for.
2,both lasted for about 2-3 weeks before they ripped ?????? was very not poggers:((
2,Not what I needed
2,There’s a stock pic above showing these bags FULL of fruits? Yeaaaa if you used one of these bags for that it would rip pretty fast. If you plan on using these bags for light stuff to transport then why’re ok. Not worth the money tho I’m general!
2,Low quality I can’t use it to paint.
2,Had to put a stiffer bag inside of these when used. Extremely thin. Bought to put my logo on. I would never even consider washing them they’re so thin.
2,They are not sturdy cheap made
2,I machine washed them and they are pretty bad now with wrinkles and shrinking. To be fair the tag does give explicit warnings not to machine wash. Still rather disappointing.
2,I was under the impression that each bag came with an iron on sheet
2,These are very cheaply made and half of the box had some sort of water damage so they are basically trash.
2,The bag is flimsy and will fade when washed
2,Tried to use for sublimation.. they looked burnt even at lower temps
2,Material is very thin and lightweight. Woven shoulder straps are short. Okay for kid party favors not for groceries gym or books.
2,Was sewn together poorly. Very flimsy. Won’t buy again
2,I ordered 2 packages. One was fine the other was moldy.I will be returning the moldy one.
2,I don’t usually give bad reviews even if the product isn’t great I try to be understanding and polite. This is not one of those reviews. I needed these bags to fill orders and they are nothing like the product description. They are cheap and thin and nothing like the description thick and sturdy. Thankfully I have a steamer to get the wrinkles out of the mangled looking handles. You can see my hand through the bag in the second picture. Will not be purchasing these again!
2,Cheap material for canvas. So lightweight that it will wear out fast!
2,These were ordered for a bachelorette weekend trip as a welcome gift for all. They arrived later than expected and didn’t make the welcome gift unfortunately.
2,These bags a very small. Way smaller than shown on the picture. Not much fits in them.
2,Unfortunately the handles are coming off the bag. Great price but recommend reinforcing the handles
2,Not as thick as expected but it does the job as a bag.
2,The quality of the bag is not the best made. Really thin material...that when I glue gunned items onto the bag both sides of the bag stuck together. When I drew on the bag with a sharpie the ink went through. The bags came very wrinkled..had to really iron them. One even had a stain on it...would not buy again.
2,I bought these for my bridesmaids. I wanted to paint doily patterns etc. I was half way through my project and I saw a few had dirt on them but I was worried until the lady one had the #129 written on it. I know I should have checked all the bags first but I was in a hurry. I’m really disappointed because at first glance they seemed really cute.
2,I purchased these to decorate as teacher gifts. I planned to decorate them the day they arrived and send them to school the next day. Well they stink... literally. I already threw them in the wash once and they still smell like someone’s musty old attic. On to plan B for a gift bc there is no way I’m gifting something that smells this bad.
2,Way too small for book bags in the classroom.
2,Tiny I could only assume these were designed for children certainly not practical as a gift or for shopping for an adult. Cheaply made strap especially was cheap. Now don't get me wrong the price is cheap so if you wanted a fun tie die project for your kids then these would be perfect. Just did not fit my needs and was returned for a full refund.
2,If you want these as party favors bag then they will work other than that they aren’t useful for anything. A great price but they are super small and the handles are poorly sewn on. Do not recommend
2,They aren't the size I thought they were going to be based on the photos. These bags are small you are not able to put it on your shoulder as advertised. You can only hold them in your hand. They are not wide at all and are also somewhat thin. Unfortunately will have to return.
2,Was a little disappointed when I opened the package to find the first bag was defective. There is a hole down the side of the bag and the material is fraying. The other bags are intact but the quality is not the best. Material is thin and handles are not centered on all the bags.
2,The bags are perfect for a birthday party craft I am extremely disappointed that 3 of them have issues. 2 bags have poor quality threading and one has a yellow stain.
2,I wanted to like these. However they arrived and were quite small (smaller than the measurements). They feel very cheaply made one was actually broken on arrival and one was missing. I bought them because the price seemed great but you definitely sacrifice quality.
2,Some of them where stained
2,Very disappointed in these totes. They are listed as polyester canvas totes but every one I pressed the images were very dull and blurry. Not to mention the size of the bag. EXTREMELY SMALL!!
2,Used these for my students' math bags and they ripped by November. They only held a white board and dry erase marker. The handles fell apart and some ripped.
2,Way too small even if the meture is listed the picture is not accurate and give you the idea that is bigger they should not show this picture.
2,Way smaller than expected
2,Some of my tote bags had stains on them.
2,The quality was not that great so I had to return them.
2,They smelled strongly like mildew!
2,Cheap thin quality but good for a child’s craft product
2,Much smaller than the photos let on.
2,Unprofessional cheap quality
2,Liked the price but the bags were thin and small.
2,Quality was real poor. Thread sticking out everywhere.
2,They were small and not of good quality
2,These are smaller than I thought. It does mention I see now the measurements so it is my fault for not checking but I assumed they were typical canvas grocery bags. They are fine if you need small bags.
2,The fabric leaves much to be desired the size is not practical for me I thought it was bigger it barely fits my arm to be able to carry it as a normal bag
3,I started using these regularly and they were good at first but now it’s balling. I’ve been using it normally and it’s still doing it
3,the bags were much wider than they appeared in the picture which was disappointing because i specifically wanted narrower bags and i looked forever to find some. i came across these and liked the narrow width so i bought them but when they came they were extremely wide.
3,So the material was nice enough for a tote bag but a couple days after receiving it I decided to wash it and the seams BUSTED open to make it unusable! I guess you could wash on a gentle cycle hand wash or just don't wash it and you're fine.
3,One of my bags got a tear in the seem after single use. Not durable
3,This is a good product just wish it was sturdier/durable. The handles are already tearing at the seams.
3,Thin for their size but they're holding up OK for now. I think I'd want something a little thicker and better made next time around. There are definitely worse canvas bags out there don't get me wrong they're no where near the worst bags but don't expect them to last years.
3,The one bag is fine but other had poor stitching on the seam and fell apart instantly. Not worth the hassle to send back since the second bag is fine and the price was cheap but you get what you pay for sometimes
3,these bags both get stained very easily
3,Super thin- not what was expected.
3,It’s a couple of bags- no decorations but I wanted them simple
3,These are handy sturdy bags. I bought many in both colors. They are strong have held up very well. I use them daily for all sorts of things.
3,I came back today to get more only to find a big jump in price.
3,Two stars off for the egregious price hike.
3,On 5/1/21 I paid $8.99 for the tan and the black versions of these bags. Now 2/21/22 the cost is $12.99 for each color. From the same seller CVNDKN.
3,That is roughly a 45% increase in less than a year.
3,They are available from other sellers here at better prices. Also as usual similar bags of a wide variety are available too. I went a different direction in my order after seeing the price change.
3,Thinner than expected. Don't know how much weight it could carry.
3,We did not have time to wash the bags to remove the scent but the bags were useful to our Team.
3,I ordered and payed for 200 but my box only has 100 in it- is there anything I can do to get the other 100- but good quality- they wash and wrinkle.
3,The exterior packaging was fine so I assume the damage occurred during manufacturing or before they were packaged.
3,Thin
3,The bags are very light weight. I plan to machine embroider on them and they afe light enough to put in the hoop easily. They did not send the teflon sheet. Reading reviews I'm not the only one. I don't need it for what I'm doing but why say your sending something yoh should send it.
3,Very flimsy… cute and arrived quickly but are super thin
3,These are a little thin for what I use them for. I hand paint on them so I find that that they are thin. Those I buy from Hobby Lobby and other craft stores are much thinker.
3,Pricey but compare averagely with similar bags I’ve purchased.
3,I thought it would be thicker fabric. The lightweight fabric is nice however I dislike that the bottom is just a pleat and does not flatten out at all. It worked well with my vinyl iron-on but I will look for a thicker and flat bottom bag for future use.
3,The sewing and the fabric quality is not very good.
3,These totes are definitely thinner than I was hoping for but seem to be ok quality for the price.
3,Great price for bulk bags. The bags themselves are pretty thin and don’t feel like they would hold up to a lot of books or things put in them
3,Although these bags are good size and very sturdy fabric fades quickly and picks up lint easily.
3,Awesome for the price but it’s small and not the same size as described. Returning.
3,These are good and cheap to leave in the car for shopping trips. They hold a decent amount of items. However I suggest hand washing and hang drying. These shrank after the wash and then some in the dryer. I wet the bags and tried to hand stretch them out but I was not able to get them back into their original size.
3,We bought thinking we'd add our own designs with our cricut vinyl. The vinyl didn't stick. Infusable did kinda tho so it wasn't a total loss. We just have a bag with half a pic now.??
3,the bags are thin but good for the price. infusible ink will not work on them but iron on vinyl will. the teflon sheet never came with
3,Thin and see-through not a bad cheap bag but I’m not thrilled with the quality. Still debating if I’m going to return or use for giveaways. But at the same time giving them away to promote an item… we’ll see
3,After they were washed they shrunk up and wrinkled a lot. Not bag for the price sinxe In using these for practice projects but won't purchase again.
3,i wanted a nice durable pack of tote bags however this is not it. you really get what you pay for. it is such a thin fabric and it feels really cheap. i used these to screenprint and the ink would transfer onto the back of the tote bag so it is not the best.
3,They need to be bigger for Halloween
3,Make sure to read the product dimensions...which are accurate...and not estimate size of tote based on photos with model (must have been taken on a Barbie doll!) Tote is very small I'm using as gift bags for a bachelorette weekend so it works. But not spacious. Quality should be okay for gift bag not sure it it would hold a lot otherwise. Considering price point...I got what I paid for.
3,I open the bag thinking they where heavy & thick but they are thin
3,Every bag was different sizes. So that made it difficult because I did iron on vynil on them and had to measure and adjust sizes so it would fit in. Other then that I really like the quality. I guess it worked out at the end.
3,so i gave it less stars because that pic one was misleading. they r small bags. you could barely fir anything in them
3,The bags aren’t bad; but was surprised when 2 of my bags handles had the threads pulled out so they were nothing but tangled. I ended up having to throw them away.
3,The handles of the bags were smaller than expected. Material thinner than what I needed it for. Good for giveaways but that’s about it.
3,The “canvas” tote is decent for the price (ordered for a class craft project)  but it is not thick canvas and it is not tightly woven as shown in photo. The color is not eggshell or natural with white straps but is completely white and the straps have a shine to them.
3,Thought bags were bigger but they are smaller I mean it’s ok but I would’ve liked to have a bigger tote bag and they are as sturdy and tough as they claim to be pretty thin and light weight I can still use them though but I won’t buy again they are strong enough or big enough for my liking
3,It was a great bag but just a little small for what I was doing.
3,Got these as gift bags for a girls weekend. A mall printing company is decorating them. I needed 10 but got this 12 pack since it was a good price. Good thing I only needed 10 because there were only 11 in the package and one of them was dirty (will use it for small groceries). So not the greatest purchase but for the price it met my needs.
3,Looks like I was a lucky one! I tried to cancel after reading reviews ( should have read reviews first) but it was too late. I was pleased to get them intact no rips or writing. As someone mentioned before the pictures are misleading they are small. And not the best quality you get what you pay for.
3,I thought they were bigger than this
3,I bought these to decorate as gifts and they are great for that. Worked well with my fabric markers. One bag has a torn notch as the top and I cannot use it. I would like to get a replacement but can’t figure out how to do that.
3,They look cheap. I will use these but will not buy again. And you can see through them...
3,I bought them as favor bags for my daughters paint party. They are exactly as described but I though the could be better quality. My daughter decorated them so they worked well. The worked for the purpose I needed them so no complaints
3,they are ok smaller than i thought and you cannot fit much
3,Smaller than I had expected them to be but will still work for my project. I dont think they would hold up very long with heavy duty use but with occasional use they'll be just fine.
3,I read the dimensions but they're still a little smaller than I thought they would be.. I screen printed some designs onto them and it went straight through so the fabric is really really thin. (thankfully I put cardboard between the layers...)
3,The bag was just what I was looking for but they smell awful. I ironed a design on and the smell was terrible. Hopefully a wash will help.
3,I got the wrong color i didnt want white. They are too thin.
3,The bags came smelling of mildew one bag even has stains and mold spots on it. Bags themselves seem sturdy and are a decent size.
3,From the pictures posted it is not the same size as pictured. The bags will work but will not hold a whole lot.
3,A little smaller than I thought. Barely fits a folder
3,Not as big as thought and thin. Get what you pay for
3,Not as big or as sturdy as expected but will use them as gift bags
3,Nice bags though they smelled funny...Let them airdry and smell went away...
3,Too small
3,Fine for what they are: slightly cheap canvas totes. Big enough for a couple pairs of adult flip flops for reference.
3,These are great for a child craft activity but beware... I only received 11.
3,The bags had a strong smell and the handles are poor quality.
3,The straps are shorter than what I had wanted. Lots of extra strings of fabric to cut away.
3,If you intend to use this bag with a heat press be VERY cautious - the handles MELT
3,The size of the bag was good disappointed in the weight of the material
3,They are chill
3,Some bags came dirty like 3 of them
3,Thought it was big but they are small
3,Smaller than I thought they would be....
3,These bags are smaller than pictured. A couple of them came with loose strings and the stitching wasn’t straight on a few of the bags. These issues are not a big deal to me as I plan on using them to hold Christmas gifts for my nieces and nephews. It’s perfect to personalize with an iron on. Overall it was a decent product for the price.
3,Super small bag. Picture is not accurate unless model holding back is a very small child . These bags are very small.
3,What the picture shows is not what you get they are way smaller
3,Reviewed in Canada on September 20 2019
3,Nice bags
4,I like the bags. They are a good size and seem well made. Although I pulled them out and one of them had a stain. It looks like a black thread got woven in there… it’s alright though because I plan on painting over it though.
4,decent product although one of my bag’s straps ripped off the bag. i had almost nothing in it so i’m a little confused
4,might be low quality
4,These are definitely what you pay for they’d be great for shopping though I like to use tote bags to carry around my daily items. They’re a bit thin.
4,Great but the fabric has gotten a lot of thread pulls after one use
4,I purchased these bags for heavy items such as soda wine or cleaning products.
4,Solid and simple.
4,Bigger than I expected. I bought these to monogram for teacher gifts. They are perfect for what I’m using them for
4,These are very nice bags and seem well made. I especially like the large capacity which makes it well suited for groceries. However given the height of the bag the handles are too long. I’m 5-11 and when I carry them they just touch the ground. Thus I have to lift the bags a bit higher and that gets tiresome after a while. I suppose you could sling it over the shoulder like a purse but that’s not what I was looking for. Will experiment with tying knots in the handles to shorten them. Just be aware.
4,Had to iron it to be able to put our logo on it
4,I use this bag any time I need to go out or simply buy groceries. It's simple and really cute for a day out! It hasn't broken so far and I can't really complain about anything. Would buy again. :)
4,Great value for the price. I wish the handles were a little longer but overall sturdy cute and take paint well for decorating.
4,I love it! Bur not so durable
4,Happy with the quality of this bag not satisfied with the shipment or how much we were charged. Something here is really fishy the quantity we ordered vs what we got didn't make any sense. We returned we didn't get back what we paid for the overage. The bag themselves are acceptable and what was expected however the company is very shady and there isn't much I can do about that because of the way they shipped the products vs how they charged us for the products. Very unhappy customer.
4,It says it’s good for tie-dye but it’s not! The bags molded and the dye color did not stick to it! I can’t return the item for a refund because they are all molded. And I can’t contact the seller to ask for my money back! What a scam.
4,I didn’t like the material. Very thin
4,this product didn't meet my expectations it's not the seller's fault. It's made with cotton but not good quality. I don't recommend it if you want to do craft or decorate it. It was hard to iron once I washed it.
4,Once I received my order there were strands hanging out of every corner it was so thin very see-through. I couldn’t sell them or do any design because then it would look patchy and it was just not a good product overall.
4,It only comes with on one film to cover one bag not 100
4,I would have given this a better rating if I received all 5 bags but I only received 3. I didn't do anything at the time since I needed to decorate one bag as a gift...
4,Not durable whatsoever feels like something I would throw away not keep. Returning ASAP.
4,I bought these to sublimate on. Can’t use for that purpose and material way to thin. Also bought the red ones can’t use them
4,It seemed like a good purchase based off the now-realized-fabricated reviews but the bag is so thin it's almost transparent and the photo of the Teflon makes it seem like you get a roll but it's a small little sheet. Save your money unless you want cheap totes for kids that won't hold.
4,The package came wet and when I opened it all of the tote bags stink like a crop of potatoes. All of them are drench and stained in a dark brown color on the right side of the bag. I've never been this disappointed ordering something online.
4,I really thought these would be a regular weight canvas bag very thin cotton too light weight seems flimsy not sturdy to carry much weight.
4,If you are looking for a super light weight bag these would be great great value.
4,I thought the tote bags would have been a little heavier. Otherwise they are nice.
4,They're a little see-though but they do the job.
4,I ordered this set to make an end of the year gift for the kids in my preschool class. I used my Cricut and some iron-on vinyl on them. They are a good size for what I was looking for and I like them. I was prepared for some extra strings after reading reviews. They were easy to snip off. The bags did have a slightly weird smell but it didn’t bother me too much. I only gave it 4 stars because a couple of the bags had a stray black mark and because I only received 11 bags instead of 12. Other than that they were what I needed and I would order them again.
4,Ok so these are WAY smaller than advertised
4,You can maybe use them as a small gift bag or lunch sack. I was bummed when I opened them
4,Also the material and quality is pretty cheap.
4,But! I was able to save them by tie dying them and they will work. Just be aware they are tiny
4,A lot of reviews said that the bags were small thin cheaply made and had loose strings hanging form it. If you take some precautions you should be fine. Originally I wanted my guests to be able to paint on their bags and to use them to carry one to two books. We painted on them with acrylic paint and it came out wonderful. Since they were a little thin I put a piece of card stock in the bag before we painted them if I hadn't have done that the paint would have seeped through the other side. There weren't that many loose strings and the ones that were hanging off I snipped with some scissors. The bags are small you could probably fit one or two books in it or a small stack of paper folders. I tested mine while at the grocery store and it's the perfect for small produce. The bags does feel rough but I suppose that is with any canvas sort of material some of the handles were a little loose but a simple stitch fixes that. For the price it's a good sturdy bag.
4,"I bought these to use as a favor/craft at my daughter's birthday party. They will be fine for that purpose but don't expect to take these with you to do your regular grocery shopping. They will fit a few books and maybe a single change of (kids) clothes but they are not the same size as a typical reusable shopping bag. The bags themselves match the dimension shown (~11""x13"") but I think the scale is off in the pictures showing a woman's hand. And the straps are woven nylon not canvas so I don't think they could handle a lot of weight."
4,I personalized them with HTV (heat transfer vinyl) without any trouble.
4,Even with the downsides I still think they are a good value and will work well for my purposes.
4,Overall these bags were great.
4,They're a bit smaller than your average tote but if you pay attention to the size and know what you're getting you won't be disappointed.
4,The bag is a canvas color and straps are white.
4,Purchased a set of these to customize for bride bridesmaid and flower girl bags and they were perfect for what I intended.
4,Great price perfect size for a robe and wine glass and easy to work with. Girls will definitely reuse. Worked well with foil htv.
4,Large enough to hold 3 or so large adult shirts and a bottle of water comfortably.
4,The straps are short. I can’t use it as a shoulder bag it’s uncomfortable
4,The size is exactly what I was looking for! I thought I was getting a cream/canvas colored tote and these are a really thin white material. They still work for the crafting I purchased them for though so I'll call it a win anyway!
4,Easy to use.
4,Definitely read the reviews and k ow before buying. They are small in size like others notes and the material is thin. They worked well for a craft project we did with a Cub Scout pack. I would buy these again to use as gift bags or party favor bags. I just wouldn’t expect these to hold heavy items.
4,I liked the quality of the bags however (2) of the 48 bags ordered were defective.
4,one had the handle strap seen to the other strap
4,A little thinner than I expected but still good quality.
4,They are good bags I just thought they’d be a little bigger.
4,I really like these totes and would have given a 5 star but one of them had a mark on it( looks like grease and or blood) so that one will be going in the trash.
4,I was a bit disappointed by this item. I had hoped they would be good bags for my Hebrew school students to carry their projects and homework folders in. They were barely big enough for the folder to fit. They are a bit thin too. I added a logo with iron-on paper.
4,Quality of Product was good and sturdy. My granddaughters traced designed on the front and painted them. Although a little smaller than I thought it was a good purchase.
4,The color is nice and the size in the pictures looks bigger than the actual size. If you are looking for a bag for carry groseries or heavy stuff looks somewhere else. However if you need a bag for party favors (like a wedding or birthday) these works good. Is not an espectacular quality but is good for the price.
4,Was able to do my project but bags were not as thick as I expected. Will not order again
5,I bought these for Cub Scouts to decorate and put their books and belts in. The smaller size is perfect for kids to carry and hang on their coat hangers to keep their scout gear in one place.
5,We used these as a give-away at a reunion. The fabric is as described is lightweight but not completely flimsy. We applied iron-on patches to these by slipping a piece of parchment paper inside to make sure the iron-on adhesive didn't seep in too far. The size was just big enough to slip a three-prong folder inside with other small giveaways. These worked great. We were very pleased. Thank you so much!
5,One person found this helpful
5,These where thick enough to not be see through. My kids painted them and stuffed with toys etc. So far they have held up but we have not used them long term yet.
5,I was hesitant to buy because of the reviews that said they came with stains or handles ripped etc. But every one
5,of the bags was clean and in perfect shape. I used them for an art class - the kids (ages 7-12) stamped them using fruit and acrylic paint. They came out beautifully! One suggestion - the canvas is a bit thin so put a piece of cardboard inside when painting. I wouldn't use them for heavy groceries but they will be perfect for school supplies papers or coloring books and crayons.
5,I bought these for favor bags for my daughters birthday. I ironed on the names of her friends. Good quality and no complaints! A few loose strings but they came right off.
5,The bags were smaller than I exprected but its okay cause it is really the size suitable for the intended use. This is perfect for company promotions. I branded the bags with our company logo and placed some promotional items inside and distributed to our partner health clinics. They love it. The fabric is a little thin so I do not recommend this bag for carrying heavy items.
5,Great for a small art project
5,I ordered these bags as a present for my students to decorate for Mother’s Day. The bags turned out wonderfully using acrylic paint. They were a great size large enough for a book or tablet sunscreen and a few other small items. They are lightweight but sturdy bags and the color is just as described.
5,The only recommendation I would make is to put a piece of cardboard or something similar inside if you don’t want the paint to bleed through to the other side.
5,I wouldn’t hesitate to order these bags again especially for the price!
5,Great small lightweight tote bag. Finished well (some of the bags I've bought other places were not). Consistent quality. Lightweight. But perfect for holding small things or for personalized favors for an event.
5,I bought these to make Fire Up bags for my daughter softball tournament. I then had each jersey number silk screened onto each bag. The bags are smaller than I thought. Based on the pictures showing/advertising the bags they appeared large enough to carry over a shoulder but they are not that large. They were perfect for what I needed though.
